,acousticness,danceability,energy,instrumentalness,popularity,speechiness
96,0.0067599999999999,0.79,0.4379999999999999,0.000177,0,0.205
97,0.994,0.446,0.103,0.000419,0,0.0509
98,0.995,0.4270000000000001,0.147,0.0,0,0.0768
99,0.985,0.185,0.151,0.7979999999999999,0,0.0391
100,0.0462,0.804,0.662,0.0516,0,0.0816
101,0.0050799999999999,0.487,0.7090000000000001,0.863,0,0.1939999999999999
102,0.253,0.604,0.782,0.914,0,0.0514
103,0.0313,0.8009999999999999,0.23,6.07e-06,0,0.2
104,0.995,0.5479999999999999,0.242,0.0033299999999999,0,0.0647
105,0.996,0.672,0.212,0.0307,0,0.053
106,0.985,0.625,0.4589999999999999,0.0562,0,0.0918
107,0.994,0.2269999999999999,0.261,0.247,0,0.0382
108,0.99,0.456,0.365,1.28e-05,0,0.0449
109,0.916,0.508,0.498,0.879,0,0.0431
110,0.996,0.37,0.19,0.966,0,0.0825
111,0.895,0.474,0.444,0.0,0,0.0378
112,0.0399,0.447,0.521,0.0,0,0.32
113,0.00139,0.932,0.318,0.000237,1,0.0699
114,0.000166,0.703,0.67,0.0,0,0.168
115,0.961,0.713,0.536,0.351,0,0.177
116,0.685,0.799,0.299,1.47e-05,0,0.0704
117,0.984,0.3829999999999999,0.185,0.0,0,0.0563
118,0.941,0.586,0.284,0.0721,0,0.0371
119,0.887,0.653,0.291,0.000236,2,0.0648
120,0.4589999999999999,0.477,0.782,0.866,0,0.0512
121,0.0739,0.439,0.507,0.0,0,0.349
122,0.0154,0.795,0.506,0.938,0,0.0701
123,0.995,0.369,0.416,0.498,0,0.0426
124,0.979,0.583,0.25,0.0,0,0.08
125,0.942,0.397,0.223,2.48e-06,0,0.0405
126,0.895,0.474,0.444,0.0,0,0.0378
127,0.00762,0.691,0.736,0.818,0,0.075
128,0.996,0.345,0.326,0.953,0,0.135
129,0.993,0.4529999999999999,0.41,0.16,0,0.044
130,0.994,0.624,0.209,0.0,0,0.175
131,6.01e-05,0.8079999999999999,0.488,0.938,0,0.135
132,0.994,0.61,0.314,0.000151,0,0.0806
133,0.7,0.1969999999999999,0.511,0.0,0,0.0413
134,0.732,0.6709999999999999,0.34,2.63e-05,1,0.1669999999999999
135,0.0113,0.6659999999999999,0.922,0.836,0,0.0335
136,0.992,0.602,0.291,3.83e-05,0,0.0375
137,0.984,0.157,0.0151,0.86,0,0.0494
138,0.996,0.623,0.283,0.4629999999999999,0,0.0753
139,0.1169999999999999,0.833,0.556,0.908,0,0.128
140,0.989,0.68,0.231,0.000247,0,0.1689999999999999
141,0.000669,0.823,0.215,0.0906,9,0.0635
142,0.992,0.574,0.138,0.000492,1,0.109
143,0.972,0.528,0.325,0.0234,0,0.0421
144,0.986,0.312,0.433,0.7929999999999999,0,0.0555
145,0.996,0.632,0.266,0.0365,0,0.0438
146,0.99,0.312,0.52,0.0837,0,0.0752
147,0.988,0.409,0.633,0.726,0,0.0421
148,0.996,0.593,0.291,0.0845,0,0.0463
149,0.989,0.402,0.158,0.13,0,0.039
150,0.985,0.3279999999999999,0.201,0.517,0,0.0408
151,0.99,0.312,0.52,0.0837,0,0.0752
152,0.996,0.589,0.185,0.92,0,0.0721
153,0.996,0.477,0.319,0.972,0,0.0542
154,0.00294,0.609,0.838,0.000173,0,0.143
155,0.0148,0.594,0.8440000000000001,0.0,2,0.074
156,0.5720000000000001,0.703,0.4029999999999999,2.28e-05,0,0.0786
157,0.979,0.525,0.433,0.111,0,0.0488
158,0.996,0.488,0.23,0.496,1,0.0396
159,0.971,0.313,0.287,0.00158,0,0.102
160,0.0039,0.826,0.369,7.53e-06,0,0.134
161,0.964,0.23,0.396,0.0742,0,0.0363
162,0.276,0.6940000000000001,0.498,4.79e-06,0,0.296
163,0.0156,0.802,0.718,0.894,0,0.054
164,5.22e-05,0.268,0.589,0.0,0,0.0595
165,0.00744,0.534,0.616,0.19,1,0.0429
166,0.428,0.797,0.6829999999999999,1.73e-05,0,0.0345
167,0.0009289999999999,0.5379999999999999,0.989,0.8140000000000001,0,0.148
168,0.00909,0.306,0.948,0.0,0,0.546
169,0.934,0.608,0.4370000000000001,0.0194,0,0.0359
170,0.865,0.526,0.65,0.0418,1,0.035
171,0.996,0.49,0.255,4.64e-05,0,0.0582
172,0.75,0.528,0.456,0.439,0,0.0371
173,0.977,0.594,0.24,0.0,0,0.0927
174,0.986,0.208,0.2339999999999999,0.6559999999999999,0,0.0426
175,0.993,0.519,0.308,0.0009939999999999,0,0.0804
176,0.863,0.503,0.282,0.000148,0,0.0608
